,H1,H2,H3,H4,H5,U1,U2,U3,U4,U5
ASV_1,10.22783445,9.913812352,2.631578947,0.193038588,4.412220844,0.36169683,0.140368008,1.429112014,0.161792517,0.963799057
ASV_3,19.07008793,8.143616309,2.894392973,0.27720074,5.009305211,0.281756589,0.706417259,1.09394888,0.627035889,0.786184093
ASV_4,0.113842328,3.863707409,0.426397336,0.544382176,0,6.621935078,37.5865857,2.338278873,28.23890643,2.749860247
ASV_5,15.43262581,1.117313446,14.98973306,0.103532807,0.558312655,0.023588924,0.326508193,0.188713553,1.457570811,0
ASV_6,0.483829896,0.878846068,1.521373903,0.371382196,3.101736973,7.763376885,6.618656739,10.81220544,9.161051867,3.894049502
ASV_7,0.055922547,0,0.445555741,0,0,0,0.038143481,0,0.012943401,0.007929239
ASV_8,0.100860308,0.016969589,0.053545288,0.058111962,0.046526055,4.341672455,0.689634128,8.770757262,1.727944085,11.7927614
ASV_9,0.031955741,0.426919127,0.183724198,0.056776055,0,1.710196968,14.27481615,4.098131048,4.275636923,4.51847711
ASV_10,0.01298202,0.019648997,0,0.062119684,0,0,0,0.009828831,0.005752623,0
ASV_11,0,0,0,0.015362933,0,0,0,0,0,0
ASV_12,0.00649101,0.075916581,0.13853001,0.124907321,0,12.09194438,0.125110616,7.465488517,1.203736329,0.589935416
ASV_13,0,0,0,0.050764473,0,0,0,0,0,0
ASV_14,0.146796687,0.083954807,1.925665386,0,0,0,0,0.005897299,0,0.010308011
ASV_15,3.654937911,0.215245836,6.580175471,2.426675395,2.6132134,0,0.68505691,0.048161271,0.154601739,0.050350671
ASV_16,0.012482711,0.032152905,0.047650393,0.013359072,0,0.262099152,0,2.294540576,0.069031474,6.471845253
ASV_17,0,0.177734113,0.073194934,0.028054051,0,4.796414484,2.810411644,2.73143211,1.760302588,1.877643906
ASV_18,0,0,0,0.020706561,0,0,0,0,0,0
ASV_19,0,0,0,0.03339768,0,0.020967932,0,0,0,0
ASV_20,0,0.352788818,0.059931423,0.024714283,0,9.900795471,1.284672424,1.307725953,2.615286157,1.200090393
ASV_21,0,0.00714509,0,0.056776055,0,0,0,0,0,0
ASV_22,0,0,0.001964965,0.020038608,0,0.045867352,0.042720698,0.12089462,0.19774641,0.040835583
ASV_23,0.08737898,0.300986916,0.050597841,0.066795359,0,5.414968483,0,6.398568922,0,0.328270514
ASV_24,0.132316741,2.392712008,1.346000806,0.07815057,1.411290323,0.184779902,0.027463306,0.547465882,0.122962313,4.544643601
ASV_25,3.201066523,2.339123833,0.281972432,4.690370113,1.651674938,0,0,0,0,0.022598332
ASV_26,0,0,0,0.023378376,0,0,0,0,0,0
ASV_27,0.024965423,0.156298843,0.157688416,0.036069494,0,1.81765762,0.033566263,4.288318926,1.356899912,1.712715725
ASV_28,0.021470264,0.101817532,0,0.196378356,0,0,0,0,0,0
ASV_30,0.203717851,8.433885589,1.219751825,0.045420844,6.211228288,0.290930059,0.105276006,0.644771308,0.052492683,0.426593083
ASV_31,0.030457816,0.152726298,0.044702946,0.012691118,0,0.410185173,4.97238412,1.320503433,1.533793064,2.161907141
ASV_32,2.646834135,0.408163265,0.444082018,2.689181156,1.287220844,0,0,0.006880182,0.003595389,0.017840789
ASV_33,0.230680507,7.080784174,1.397089887,0.041413123,7.157258065,0.081250737,0.074761222,0.427554145,0.086289343,0.611740825
ASV_34,0,0,0,0.02605019,0,0,0,0,0,0
ASV_35,0,0,0,0,0,0.056351318,1.014616582,0.007371623,0,5.659891132
ASV_36,0.009986169,2.319474836,0.139512492,0,0,0.305345512,0.128162095,1.193711514,2.772045129,0.903536837
ASV_38,1.486441279,2.857142857,0.250041755,5.095149989,0.690136476,0,0,0,0,0.016254941
ASV_40,0,0,0,0.038741308,0,0,0,0,0,0
ASV_41,0,0,0,0.017366793,0,0,0,0,0,0
ASV_42,0.09386999,0.142008663,0.104634369,7.959334985,0,0,0.03966922,0.010811714,0,0.03409573
ASV_43,0,0,0,0.054104241,0,0,0,0,0,0
ASV_44,0.055423239,1.204840798,0.709352249,0,0.690136476,0,0,0.12728336,0.06687424,3.42146683
ASV_45,0,0.02858036,0.031930676,0,0,4.726958208,1.043605627,0.385781613,1.385663026,1.737296367
ASV_47,0,0.005358817,0.019649647,0.008683397,0.038771712,0,0.877300052,0.0319437,0.021572336,3.497191067
ASV_48,0,0,0,0.010687257,0,0,0,0,0,0
ASV_49,0.00649101,0,0,0,0,0.006552479,0.033566263,0,0,0.070173769
ASV_50,0.838838209,0.142008663,0,0,0,0.237199733,1.927008636,0.719961864,1.699900048,0.434125861
ASV_51,0,0.345643728,0.030948194,0.016030886,0,0.601517554,0.582832382,0.996643454,4.676163288,0.140347539
ASV_52,0.006990318,0.010717635,0.053545288,0,0,0,0,0,0,0
ASV_53,0,0,0,0.015362933,0,0,0,0,0,0
ASV_54,0,0,0,0.025382236,0,0,0,0,0,0
ASV_55,0.065409408,0.205421337,1.077291886,0,0,0,0,0,0,0
ASV_56,0.009986169,0.01429018,0.090879616,0.021374515,0,5.500150707,0.257849928,0.94111056,1.098750962,0.360383934
ASV_57,0.243163219,0.481400438,3.103661712,0,0,0,0.038143481,0,0.010786168,0.016651403
ASV_58,2.920954478,0.430491672,0.291306014,1.740019103,1.008064516,0,0,0,0,0.024977104
ASV_59,0,0,0,0.022042468,0,0,0,0,0,0
ASV_60,0,0.059840129,0.031439435,0.065459452,0,0.239820724,2.428976839,0.799575395,1.036910266,0.806007192
ASV_61,0.007489627,0,0.107581816,0.004007722,0,2.471595004,0.265478624,1.165699346,1.087964794,1.604878068
ASV_62,0.07439696,0.295628098,0.084984722,0.042081076,0,0.428532114,1.438772085,1.836025614,2.102583647,0.528880272
ASV_63,0.304078851,1.693386326,0.941218082,0,0,0.108771148,0.308199323,1.383407951,1.097312806,0.156998941
ASV_65,0,0.03572545,0.057966458,0.034065633,0,0.044556856,0.906289097,0.392661795,0.234419381,0.56852647
ASV_67,0.145298761,3.440360827,1.57884912,0.010687257,0.977047146,0,0,0.006880182,0.016538791,0.015462017
ASV_69,1.076509035,0.827044166,0.296709667,0.027386097,0.682382134,0,0,0.133180659,0,0.094754412
ASV_71,0.004493776,0.00714509,0,0.030057912,0,0,0,0,0,0
ASV_72,0,0,0,0.025382236,0,0,0,0,0,0
ASV_73,0.581694353,0.07859599,0.501065993,0.366038568,0,0.178227423,0.305147844,0.542060025,1.203736329,0.058676372
ASV_75,2.390189587,0.229536016,1.904050775,0,0,0,0,0,0.130153092,0
ASV_76,0,0,0,0,0,0,0,0,0.010786168,0.008325701
ASV_79,0.008488244,0,0,0.022710422,0,0,0,0,0,0
ASV_80,0,1.076229179,0.011298547,0.006679536,0,1.052328096,0.402795154,0.189204995,1.499996405,0.458706503
ASV_81,0.076893502,0.010717635,0.010316065,0.158305001,0,0,0,0.027029285,0.069031474,0.009515087
ASV_82,1.762558856,0.421560309,0.242673138,0,0.868486352,0.090424207,0,0.094848218,0,0.032509882
ASV_83,0,0,0,0.018034747,0,0,0,0,0,0
ASV_85,0.004993085,0.422453445,0.032421917,0,0,0.53468227,0.256324189,0,3.003588198,1.097803204
ASV_86,0,0,0,0.012023165,0,0,0,0,0,0
ASV_88,0,0,0,0.020706561,0,0,0,0,0,0
ASV_89,0.50829601,3.419818693,1.181435014,0.046088798,2.272022333,0.026209915,0,0.07961353,0,0
ASV_90,0,0,0,0.010019304,0,0,0,0,0,0
ASV_91,0,0,0,0.016030886,0,0,0,0,0,0.002775234
ASV_92,0,0,0,0.038073355,0,0,0,0,0,0
ASV_94,0,0,0,0.010687257,0,0,0,0,0,0
ASV_95,0.013481328,0,0.012281029,0.028054051,0,0,0.021360349,0,0,0
ASV_96,0,0.036618586,0,0,0,1.969675128,0.154099661,2.435584299,0.189836554,0.06224453
ASV_98,0,0.008931362,0,0.028722004,0,4.162134535,0.030514784,1.550498076,0.276844974,0.131625375
ASV_99,0,0,0,0.01669884,0,0,0,0,0,0
ASV_100,0,0.006251954,0,0,0,0,0,0.005897299,0,0
ASV_101,0.073897652,0.066092082,0.028983229,0.184355191,0.628101737,0,0,0,0,0
ASV_102,0,0,0,0.012691118,0,0,0,0,0,0
ASV_103,0,0.10003126,0,0.006011582,0,0,0,0.042755414,0,2.625767649
ASV_104,0.016976488,0.072344036,0.0334044,0.118227786,0.325682382,0.874100672,0.428732721,0.916538482,0.396211898,0.158981251
ASV_106,0.008488244,0,0,0,0,0,0,0,0,0.047575437
ASV_108,0.009986169,0,0,0,0,0,0,0,0,0
ASV_109,0,0,0,0.010019304,0,0,0,0,0,0
ASV_110,2.310300234,0.070557764,0.200426397,0.148285697,0.922766749,0,0.366177413,0.060938752,0.293383765,0.049954209
ASV_111,0.003495159,0.015183316,0,0,0,0,0,0,0,0
ASV_112,0.028460582,0.144688072,0.045685429,1.1067991,0,0,0.015257392,0.009337389,0.012224324,0.042817893
ASV_113,0,0,0.014737235,0,0,0.083871729,0.106801745,0.593661387,0.218599668,1.336473312
ASV_115,0.43389905,0.025900951,0.165548274,0.65659838,0.240384615,0,0.027463306,0.511590649,0.092761043,0
ASV_121,0.005991701,0,0,0.011355211,0,0,0,0,0,0
ASV_122,0.05192808,0.913678382,0.479451382,0.036737447,0,0,0,0.177901839,0.058964384,1.200486855
ASV_123,0.060915632,0,0.124284016,0,0,0.900310587,0.250221232,0.466378027,0.132310325,1.332508692
ASV_124,0,0,0.005894894,0,0,0,0,0,0,0.011100935
ASV_129,0,0,0,0,0,1.06019107,1.237374508,0.63592536,0.538589313,0.450380802
ASV_134,0,0,0.005403653,0.016030886,0,0,0,0,0,0
ASV_137,0,0,0,0.023378376,0,0,0,0,0,0
ASV_140,0,0,0,0,0,0.011794462,0,0.003440091,0,0
ASV_141,0.00649101,0,0,0.034733587,0,0,0,0,0,0
ASV_146,0.020471647,0,0,3.328412742,0,0,0,0.067818933,0,0.014669093
ASV_147,0,0.006251954,0,0,0,0,0,0,0,0.013083245
ASV_148,0,0.006251954,0,0.012023165,0,0,0,0,0,0.002775234
ASV_154,0,0,0,0.014694979,0,0,0,0,0,0
ASV_155,0.013980637,0.033939177,0,3.280988037,0,0,0,0,0,0
ASV_160,0.001997234,0,0,0.011355211,0,0,0,0,0,0
ASV_161,0.023467498,0,0.015719717,0,0,0,0.732354826,0,0.053211761,1.692892626
ASV_162,0,0,0,0.006679536,0,0.013104958,0,0,0,0
ASV_164,0.086879672,0.108069486,0.513347023,0,0,0,0,0,0.030920348,0
ASV_165,0,0,0.016210959,0,0,0.153328004,0.045772177,1.423214716,0.51270251,0.046386051
ASV_166,0,0,0.034878123,0,0,0,0,0,0,0
ASV_167,0.007489627,0,0,0.023378376,0,0,0,0.011303156,0,0.050350671
ASV_171,0.033453667,0.127718483,0.119862845,0.00935135,0,1.061501566,0.047297916,0.430994235,0.183364853,0.830984296
ASV_174,0.500307075,0.0714509,1.602919938,0.095517363,0,0,0,0,0,0
ASV_175,0.596174299,0.106283214,0.12575774,1.54965233,1.14764268,0,0,0,0,0.010308011
ASV_176,0.501305692,0.190238021,0.286884843,1.461482456,0.519540943,0,0.306673583,0.032926584,0.076222253,0.039646197
ASV_177,0,0,0,0.010687257,0,0,0,0,0,0
ASV_179,0,0,0,0.012691118,0,0,0,0,0,0
ASV_190,0.350514537,0.93064797,0.013263512,1.560339588,1.628411911,0,0,0.020640545,0,0
ASV_191,0,0,0,0.022042468,0,0,0,0,0,0
ASV_194,0,0.01429018,0.019649647,0,0,1.071985532,0.091544353,0.516996506,0.458771671,0.625220532
ASV_197,0.047933612,0,0.832162542,0.098189178,0,0.006552479,0.022886088,0.066344609,0.089165654,0.040042659
ASV_199,0,0,0,0.012691118,0,0,0,0,0,0
